Date,Open,High,Low,Close,Adj Close,Volume,MA_20,MA_50,SHORT_GR_LONG,Signal,Buy & Sell
2021-11-23,3445.0,3480.949951171875,3407.800048828125,3464.25,3417.147705078125,2153461,3489.157470703125,3659.3409814453125,0,0.0,NULL
2021-11-24,3472.199951171875,3493.050048828125,3424.0,3443.300048828125,3396.482666015625,2161746,3486.6749755859373,3652.378984375,0,0.0,NULL
2021-11-25,3443.89990234375,3463.0,3434.050048828125,3445.89990234375,3399.046875,1849619,3484.8399658203125,3644.38998046875,0,0.0,NULL
2021-11-26,3425.0,3490.0,3411.89990234375,3446.85009765625,3399.984130859375,1941251,3482.694970703125,3635.608984375,0,0.0,NULL
2021-11-29,3447.14990234375,3529.35009765625,3406.449951171875,3502.0,3454.38427734375,2981745,3486.7124755859377,3626.5579833984375,0,0.0,NULL
2021-11-30,3491.0,3563.75,3491.0,3529.14990234375,3481.16552734375,5588446,3493.282470703125,3619.07498046875,0,0.0,NULL
2021-12-01,3535.0,3590.0,3535.0,3577.800048828125,3529.15380859375,2102118,3498.3524780273438,3614.0739794921874,0,0.0,NULL
2021-12-02,3589.199951171875,3648.0,3574.10009765625,3642.89990234375,3593.36865234375,3152938,3506.2874755859375,3610.4619775390624,0,0.0,NULL
2021-12-03,3646.449951171875,3665.949951171875,3630.85009765625,3640.449951171875,3590.951904296875,2486263,3513.697473144531,3606.0119775390626,0,0.0,NULL
2021-12-06,3640.449951171875,3658.0,3522.0,3536.39990234375,3488.316650390625,1849642,3515.0849731445314,3599.4969775390623,0,0.0,NULL
2021-12-07,3562.5,3598.0,3524.300048828125,3584.5,3535.762939453125,1484458,3519.172473144531,3593.8019775390626,0,0.0,NULL
2021-12-08,3601.0,3646.449951171875,3601.0,3626.89990234375,3577.586181640625,1428660,3525.232470703125,3588.913974609375,0,0.0,NULL
2021-12-09,3610.0,3634.75,3566.0,3601.75,3552.778076171875,1567957,3531.1049682617186,3584.2099755859376,0,0.0,NULL
2021-12-10,3585.0,3642.0,3575.10009765625,3636.800048828125,3587.3515625,1510718,3538.5349731445312,3581.362978515625,0,0.0,NULL
2021-12-13,3650.0,3662.0,3601.699951171875,3609.64990234375,3560.57080078125,1883864,3542.7149658203125,3577.717978515625,0,0.0,NULL
2021-12-14,3605.0,3635.0,3576.699951171875,3623.800048828125,3574.528564453125,1747007,3546.2399658203126,3574.682978515625,0,0.0,NULL
2021-12-15,3620.0,3623.0,3558.14990234375,3570.35009765625,3521.80517578125,1603233,3546.9374755859376,3571.4859814453125,0,0.0,NULL
2021-12-16,3582.0,3608.449951171875,3570.0,3581.60009765625,3532.902099609375,2072320,3549.9224853515625,3567.651982421875,0,0.0,NULL
2021-12-17,3602.5,3651.35009765625,3573.699951171875,3584.35009765625,3535.61474609375,4333992,3555.3549926757814,3562.6729833984373,0,0.0,NULL
2021-12-20,3589.0,3606.0,3510.14990234375,3556.89990234375,3508.53759765625,2312310,3560.279992675781,3557.5929833984374,1,1.0,SELL
2021-12-21,3582.64990234375,3641.199951171875,3566.39990234375,3608.300048828125,3559.239013671875,2340989,3567.4824951171877,3551.900986328125,1,0.0,NULL
2021-12-22,3624.0,3636.800048828125,3606.25,3630.75,3581.3837890625,1224328,3576.8549926757814,3545.80298828125,1,0.0,NULL
2021-12-23,3648.0,3670.5,3630.0,3662.699951171875,3612.899169921875,1792861,3587.6949951171873,3545.3449853515626,1,0.0,NULL
2021-12-24,3685.0,3705.0,3644.800048828125,3670.89990234375,3620.98779296875,2209923,3598.8974853515624,3545.7059814453123,1,0.0,NULL
2021-12-27,3671.0,3700.0,3653.10009765625,3696.10009765625,3645.84521484375,1534135,3608.602490234375,3546.523984375,1,0.0,NULL
2021-12-28,3710.0,3725.0,3693.85009765625,3706.550048828125,3656.153564453125,1456218,3617.4724975585937,3548.425986328125,1,0.0,NULL
2021-12-29,3692.25,3719.949951171875,3685.0,3694.699951171875,3644.464111328125,1456923,3623.317492675781,3549.3769873046876,1,0.0,NULL
2021-12-30,3681.35009765625,3740.0,3680.0,3733.75,3682.983154296875,1966475,3627.859997558594,3551.3689892578127,1,0.0,NULL
2021-12-31,3742.800048828125,3760.0,3731.300048828125,3738.35009765625,3687.521240234375,1207141,3632.7550048828125,3553.9589892578124,1,0.0,NULL
2022-01-03,3750.0,3830.0,3745.0,3817.75,3765.841064453125,2346158,3646.822509765625,3559.6639892578123,1,0.0,NULL
